,<22,22-24,25-27,28-30,31-33,34-36,37-39,40-42,43-45,46-48,49-51,52-54,55-57,58-60
510,50,50,50,50,50,50,50,50,50,50,50,50,50,50
520,50,50,50,50,50,50,50,50,50,50,50,50,50,50
530,50,50,50,50,50,50,50,50,50,50,50,50,50,50
540,50,50,50,50,50,50,50,50,50,50,50,50,50,50
550,50,50,50,50,50,50,50,50,50,50,50,50,50,50
560,50,50,50,50,50,50,50,50,50,50,50,50,50,50
570,50,50,50,50,50,50,50,50,50,50,50,50,50,50
580,50,50,50,50,50,50,50,50,50,50,50,50,50,50
590,50,50,50,50,50,50,50,50,50,50,50,50,50,50
600,50,50,50,50,50,50,50,50,50,50,50,50,50,50
610,49,50,50,50,50,50,50,50,50,50,50,50,50,50
620,48,50,50,50,50,50,50,50,50,50,50,50,50,50
630,47,49,50,50,50,50,50,50,50,50,50,50,50,50
640,47,48,49,50,50,50,50,50,50,50,50,50,50,50
650,46,47,48,49,50,50,50,50,50,50,50,50,50,50
660,46,46,47,48,49,50,50,50,50,50,50,50,50,50
670,45,46,46,47,48,49,50,50,50,50,50,50,50,50
680,45,45,46,46,47,48,49,50,50,50,50,50,50,50
690,44,45,45,46,46,47,48,49,50,50,50,50,50,50
700,44,44,45,45,46,46,47,48,49,50,50,50,50,50
710,43,44,44,45,45,46,46,47,48,49,50,50,50,50
720,43,43,44,44,45,45,46,46,47,48,50,50,50,50
730,42,43,43,44,44,45,45,46,46,47,50,50,50,50
740,42,42,43,43,44,44,45,45,46,46,49,50,50,50
750,41,42,42,43,43,44,44,45,45,46,48,49,50,50
760,41,41,42,42,43,43,44,44,45,45,47,48,50,50
770,39,41,41,42,42,43,43,44,44,45,46,47,49,50
780,39,39,41,41,42,42,43,43,44,44,45,46,48,50
790,38,39,39,41,41,42,42,43,43,44,44,45,47,49
800,38,38,39,39,41,41,42,42,43,43,44,44,46,48
810,38,38,38,39,39,41,41,42,42,43,43,44,45,47
820,37,38,38,38,39,39,41,41,42,42,43,43,44,46
830,37,37,38,38,38,39,39,41,41,42,42,43,43,45
840,37,37,37,38,38,38,39,39,41,41,42,42,43,44
850,36,37,37,37,38,38,38,39,39,41,41,42,42,43
860,36,36,37,37,37,38,38,38,39,39,41,41,42,42
870,36,36,36,37,37,37,38,38,38,39,39,41,41,42
880,35,36,36,36,37,37,37,38,38,38,39,39,41,41
890,35,35,36,36,36,37,37,37,38,38,38,39,39,41
900,35,35,35,36,36,36,37,37,37,38,38,38,39,39
910,34,35,35,35,36,36,36,37,37,37,38,38,38,39
920,34,34,35,35,35,36,36,36,37,37,37,38,38,38
930,33,34,34,35,35,35,36,36,36,37,37,37,38,38
940,33,33,34,34,35,35,35,36,36,36,37,37,37,38
950,32,33,33,34,34,35,35,35,36,36,36,37,37,37
960,32,32,33,33,34,34,35,35,35,36,36,36,37,37
970,31,32,32,33,33,34,34,35,35,35,36,36,36,37
980,31,31,32,32,33,33,34,34,35,35,35,36,36,36
990,30,31,31,32,32,33,33,34,34,35,35,35,36,36
1000,30,30,31,31,32,32,33,33,34,34,35,35,35,36
1010,29,30,30,31,31,32,32,33,33,34,34,35,35,35
1020,28,29,30,30,31,31,32,32,33,33,34,34,35,35
1030,27,28,29,30,30,31,31,32,32,33,33,34,34,35
1040,26,27,28,29,30,30,31,31,32,32,33,33,34,34
1050,25,26,27,28,29,30,30,31,31,32,32,33,33,34
1060,24,25,26,27,28,29,30,30,31,31,32,32,33,33
1070,23,24,25,26,27,28,29,30,30,31,31,32,32,33
1080,22,23,24,25,26,27,28,29,30,30,31,31,32,32
1090,21,22,23,24,25,26,27,28,29,30,30,31,31,32
1100,20,21,22,23,24,25,26,27,28,29,30,30,31,31
1110,18,20,21,22,23,24,25,26,27,28,29,30,30,31
1120,16,18,20,21,22,23,24,25,26,27,28,29,30,30
1130,14,16,18,20,21,22,23,24,25,26,27,28,29,30
1140,12,14,16,18,20,21,22,23,24,25,26,27,28,29
1150,10,12,14,16,18,20,21,22,23,24,25,26,27,28
1160,8,10,12,14,16,18,20,21,22,23,24,25,26,27
1170,6,8,10,12,14,16,18,20,21,22,23,24,25,26
1180,4,6,8,10,12,14,16,18,20,21,22,23,24,25
1190,2,4,6,8,10,12,14,16,18,20,21,22,23,24
1200,1,2,4,6,8,10,12,14,16,18,20,21,22,23
1210,0,1,2,4,6,8,10,12,14,16,18,20,21,22
1220,0,0,1,2,4,6,8,10,12,14,16,18,20,21
1230,0,0,0,1,2,4,6,8,10,12,14,16,18,20
1240,0,0,0,0,1,2,4,6,8,10,12,14,16,18
1250,0,0,0,0,0,1,2,4,6,8,10,12,14,16
1260,0,0,0,0,0,0,1,2,4,6,8,10,12,14
1270,0,0,0,0,0,0,0,1,2,4,6,8,10,12
1280,0,0,0,0,0,0,0,0,1,2,4,6,8,10
1290,0,0,0,0,0,0,0,0,0,1,2,4,6,8
1300,0,0,0,0,0,0,0,0,0,0,1,2,4,6
1310,0,0,0,0,0,0,0,0,0,0,0,1,2,4
1320,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1330,0,0,0,0,0,0,0,0,0,0,0,0,0,1
